date,country,event,expected,actual,previous
2022-03-16,US,Fed Rate Decision,,,
2022-05-04,US,Fed Rate Decision,,,
2022-06-15,US,Fed Rate Decision,,,
2022-07-27,US,Fed Rate Decision,,,
2022-09-21,US,Fed Rate Decision,,,
2022-11-02,US,Fed Rate Decision,,,
2022-12-14,US,Fed Rate Decision,,,
2023-02-01,US,Fed Rate Decision,,,
2023-03-22,US,Fed Rate Decision,,,
2023-05-03,US,Fed Rate Decision,,,
2023-06-14,US,Fed Rate Decision,,,
2023-07-26,US,Fed Rate Decision,,,
2023-09-20,US,Fed Rate Decision,,,
2023-11-01,US,Fed Rate Decision,,,
2023-12-13,US,Fed Rate Decision,,,
2024-01-31,US,Fed Rate Decision,,,
2024-03-20,US,Fed Rate Decision,,,
2024-05-01,US,Fed Rate Decision,,,
2024-06-12,US,Fed Rate Decision,,,
2024-07-31,US,Fed Rate Decision,,,
2024-09-18,US,Fed Rate Decision,,,
2024-11-07,US,Fed Rate Decision,,,
2024-12-18,US,Fed Rate Decision,,,
2025-01-29,US,Fed Rate Decision,,,
2025-03-19,US,Fed Rate Decision,,,
2025-05-07,US,Fed Rate Decision,,,
2025-06-18,US,Fed Rate Decision,,,
2025-07-30,US,Fed Rate Decision,,,
